"Feature","Importance","Model","Importance_Normalized"
"Online.boarding",0.316838114454633,"XGBoost",100
"Inflight.wifi.service",0.200417001523255,"XGBoost",63.255332101767
"Type.of.Travel.Business travel",0.11435313370295,"XGBoost",36.0919752031046
"Class.Business",0.063219481703754,"XGBoost",19.9532438868892
"Customer.Type.disloyal Customer",0.0374106377940034,"XGBoost",11.8074928764166
"Inflight.entertainment",0.0308754920116246,"XGBoost",9.74487935732415
"Checkin.service",0.0238288231156894,"XGBoost",7.52081963267122
"Baggage.handling",0.0208425689521456,"XGBoost",6.57830229422414
"service_score",0.0197799665166385,"XGBoost",6.24292520825197
"Seat.comfort",0.0184527757175949,"XGBoost",5.82403911516682
"Ease.of.Online.booking",0.0165359257498807,"XGBoost",5.21904562471709
"Leg.room.service",0.0163421902805881,"XGBoost",5.15789910841931
"Customer.Type.Loyal Customer",0.0156354095227674,"XGBoost",4.93482595983767
"Age",0.015098399301334,"XGBoost",4.7653355491408
"Inflight.service",0.0150497224736405,"XGBoost",4.74997223725602
"On.board.service",0.0131557051305008,"XGBoost",4.15218514765671
"Type.of.Travel.Personal Travel",0.0126834873546307,"XGBoost",4.00314443748743
"Gate.location",0.0118829566652423,"XGBoost",3.75048206737884
"Cleanliness",0.0110418685447239,"XGBoost",3.48501901790763
"Flight.Distance",0.00991455276702994,"XGBoost",3.12921719790425
"Arrival.Delay.in.Minutes",0.00569330335466406,"XGBoost",1.79691239624495
"Departure.Arrival.time.convenient",0.00428517511093339,"XGBoost",1.35248094071932
"Departure.Delay.in.Minutes",0.00247960466550989,"XGBoost",0.782609336562295
"Food.and.drink",0.00182630457042688,"XGBoost",0.576415679524688
"Class.Eco",0.00136374390425522,"XGBoost",0.430422932734153
"Gender.Female",0.000533084822321408,"XGBoost",0.168251481750861
"Class.Eco Plus",0.000412999928874844,"XGBoost",0.130350456600126
"Gender.Male",4.75703603875953e-05,"XGBoost",0.0150140902301092
